Time,Velocity,Acceleration,Jerk
0,1.9704,-2.96,4
0.01,1.9412,-2.92,4
0.02,1.9124,-2.88,4
0.03,1.884,-2.84,4
0.04,1.856,-2.8,4
0.05,1.8284,-2.76,4
0.06,1.8012,-2.72,4
0.07,1.7744,-2.68,4
0.08,1.748,-2.64,4
0.09,1.722,-2.6,4
0.1,1.6964,-2.56,4
0.11,1.6712,-2.52,4
0.12,1.6464,-2.48,4
0.13,1.622,-2.44,4
0.14,1.598,-2.4,4
0.15,1.5744,-2.36,4
0.16,1.5512,-2.32,4
0.17,1.5284,-2.28,4
0.18,1.506,-2.24,4
0.19,1.484,-2.2,4
0.2,1.4624,-2.16,4
0.21,1.4412,-2.12,4
0.22,1.4204,-2.08,4
0.23,1.4,-2.04,4
0.24,1.38,-2,4
0.25,1.3604,-1.96,4
0.26,1.3412,-1.92,4
0.27,1.3224,-1.88,4
0.28,1.304,-1.84,4
0.29,1.286,-1.8,4
0.3,1.2684,-1.76,4
0.31,1.2512,-1.72,4
0.32,1.2344,-1.68,4
0.33,1.218,-1.64,4
0.34,1.202,-1.6,4
0.35,1.1864,-1.56,4
0.36,1.1712,-1.52,4
0.37,1.1564,-1.48,4
0.38,1.142,-1.44,4
0.39,1.128,-1.4,4
0.4,1.1144,-1.36,4
0.41,1.1012,-1.32,4
0.42,1.0884,-1.28,4
0.43,1.076,-1.24,4
0.44,1.064,-1.2,4
0.45,1.0524,-1.16,4
0.46,1.0412,-1.12,4
0.47,1.0304,-1.08,4
0.48,1.02,-1.04,4
0.49,1.01,-1,4
0.5,1.0004,-0.96,4
0.51,0.9912,-0.92,4
0.52,0.9824,-0.88,4
0.53,0.974,-0.84,4
0.54,0.966,-0.8,4
0.55,0.9584,-0.76,4
0.56,0.9512,-0.72,4
0.57,0.9444,-0.68,4
0.58,0.938,-0.64,4
0.59,0.932,-0.6,4
0.6,0.9264,-0.56,4
0.61,0.9212,-0.52,4
0.62,0.9164,-0.48,4
0.63,0.912,-0.44,4
0.64,0.908,-0.4,4
0.65,0.9044,-0.36,4
0.66,0.9012,-0.32,4
0.67,0.8984,-0.28,4
0.68,0.896,-0.24,4
0.69,0.894,-0.2,4
0.7,0.8924,-0.16,4
0.71,0.8912,-0.12,4
0.72,0.8904,-0.08,4
0.73,0.89,-0.04,4
0.74,0.89,2.1233e-15,4
0.75,0.8904,0.04,4
0.76,0.8912,0.08,4
0.77,0.8924,0.12,4
0.78,0.894,0.16,4
0.79,0.896,0.2,4
0.8,0.8984,0.24,4
0.81,0.9012,0.28,4
0.82,0.9044,0.32,4
0.83,0.908,0.36,4
0.84,0.912,0.4,4
0.85,0.9164,0.44,4
0.86,0.9212,0.48,4
0.87,0.9264,0.52,4
0.88,0.932,0.56,4
0.89,0.938,0.6,4
0.9,0.9444,0.64,4
0.91,0.9512,0.68,4
0.92,0.9584,0.72,4
0.93,0.966,0.76,4
0.94,0.974,0.8,4
0.95,0.9824,0.84,4
0.96,0.9912,0.88,4
0.97,1.0004,0.92,4
0.98,1.01,0.96,4
0.99,1.02,1,4
